"yy","mm","dd","s"
"2017","8","22","1"
"2017","9","5","1"
"2017","9","19","1"
"2017","10","3","1"
"2017","10","17","1"
"2017","10","31","1"
"2017","11","9","2"
"2017","11","28","1"
"2017","12","5","1"
"2018","1","9","1"
"2018","1","23","1"
"2018","2","6","1"
"2018","2","20","1"
"2018","3","6","1"
"2018","3","20","1"
"2017","12","12","2"
"2017","12","13","2"
"2017","12","14","2"
"2018","2","2","2"
"2018","3","23","2"
"2018","6","1","2"
"2018","6","4","2"
"2018","6","5","2"
"2018","6","6","2"
"2017","9","1","3"
"2017","9","4","3"
"2017","9","21","3"
"2017","11","10","3"
"2017","11","20","3"
"2017","11","21","3"
"2017","11","22","3"
"2017","11","23","3"
"2017","11","24","3"
"2017","12","18","3"
"2017","12","19","3"
"2017","12","20","3"
"2017","12","21","3"
"2017","12","24","3"
"2017","12","25","3"
"2017","12","26","3"
"2017","12","27","3"
"2017","12","28","3"
"2018","1","1","3"
"2018","1","2","3"
"2018","1","3","3"
"2018","1","4","3"
"2018","1","5","3"
"2018","2","19","3"
"2018","3","26","3"
"2018","3","27","3"
"2018","3","28","3"
"2018","3","29","3"
"2018","3","30","3"
"2018","4","2","3"
"2018","5","28","3"
